iterations,best,worst,avg
1,241716.0,268247.0,253829.872
2,241716.0,612456.0,275777.316
3,241716.0,613799.0,268155.392
4,241716.0,649036.0,275408.608
5,241716.0,273808.0,242997.106
6,241716.0,275332.0,242596.094
7,241716.0,276107.0,242571.782
8,241716.0,272121.0,243002.254
9,241625.0,278990.0,242828.55
10,241625.0,270089.0,243245.468
11,241625.0,269416.0,242895.214
12,241625.0,278827.0,242891.122
13,241625.0,276887.0,242924.112
14,240625.0,272180.0,243338.108
15,240625.0,273259.0,241737.584
16,240236.0,270183.0,241559.726
17,240236.0,278098.0,242454.98
18,240236.0,278439.0,241366.656
19,240236.0,273531.0,241725.182
20,240236.0,273135.0,241039.056
21,240236.0,273903.0,241230.004
22,240236.0,272616.0,241471.442
23,240236.0,266680.0,241153.972
24,240236.0,270053.0,241467.49
25,240236.0,273532.0,241321.058
26,240236.0,275432.0,241598.674
27,240236.0,274085.0,241528.612
28,240236.0,272758.0,241416.41
29,240236.0,271771.0,241444.792
30,240236.0,274033.0,241443.142
31,240236.0,271267.0,241236.866
32,240236.0,272079.0,241179.682
33,240236.0,273163.0,241590.706
34,240236.0,265401.0,241124.094
35,240236.0,274624.0,241145.564
36,240236.0,276425.0,241293.428
37,240236.0,266151.0,241178.056
38,240236.0,268284.0,241355.106
39,240030.0,272004.0,241462.874
40,240030.0,270075.0,241861.364
41,240030.0,278904.0,243309.62
42,240030.0,274690.0,241422.876
43,240030.0,272840.0,240745.27
44,240030.0,272302.0,240823.604
45,240030.0,264476.0,240706.026
46,240030.0,270211.0,241113.448
47,240030.0,267512.0,241322.178
48,240030.0,275781.0,241421.964
49,240030.0,274637.0,241320.98
50,240030.0,276191.0,241190.406
51,240030.0,266895.0,241219.564
52,240030.0,271882.0,240993.394
53,240030.0,274415.0,241006.892
54,240030.0,275988.0,241210.122
55,240030.0,273208.0,240978.686
56,240030.0,277327.0,241073.29
57,240030.0,273555.0,241316.818
58,240030.0,271867.0,240827.708
59,240030.0,273429.0,241380.764
60,240030.0,272383.0,240914.286
61,240030.0,270575.0,241003.6
62,240030.0,272662.0,241180.396
63,240030.0,270214.0,241081.092
64,240030.0,273518.0,241043.234
65,240030.0,270754.0,241525.294
66,240030.0,273266.0,240951.552
67,240030.0,263976.0,240915.154
68,240030.0,269614.0,241175.212
69,240030.0,270498.0,240834.546
70,240030.0,273214.0,241150.734
71,240030.0,271717.0,241012.332
72,240030.0,275165.0,241033.678
73,240030.0,271759.0,241026.758
74,240030.0,268903.0,240918.11
75,240030.0,272100.0,241647.188
76,240030.0,275027.0,241122.102
77,240030.0,274938.0,241004.472
78,240030.0,263712.0,240683.518
79,240030.0,271936.0,241380.198
80,240030.0,267752.0,241328.206
81,240030.0,273223.0,241062.58
82,239989.0,273426.0,241290.878
83,239989.0,271975.0,241946.406
84,239989.0,273477.0,241182.354
85,239989.0,273803.0,241010.124
86,239989.0,265585.0,241145.806
87,239745.0,266981.0,240930.798
88,239745.0,271756.0,242295.958
89,239745.0,274876.0,241146.11
90,239745.0,275553.0,240818.004
91,239745.0,271826.0,240850.984
92,239745.0,271617.0,241397.802
93,239745.0,265582.0,240776.54
94,239731.0,270217.0,240924.6
95,239731.0,272053.0,241257.372
96,239731.0,267163.0,241212.728
97,239731.0,272028.0,240480.64
98,239731.0,270061.0,240914.498
99,239731.0,272426.0,240604.464
100,239731.0,266229.0,240697.954
101,239731.0,271345.0,240887.502
102,239731.0,274011.0,240630.722
103,239731.0,272263.0,240839.676
104,239731.0,270574.0,240631.962
