iterations,best,worst,avg
1,8216.0,10332.0,9418.558
2,8083.0,15211.0,8758.9
3,8083.0,10477.0,8364.328
4,8083.0,11451.0,8434.846
5,8083.0,10304.0,8185.88
6,8083.0,10150.0,8150.056
7,8073.0,10521.0,8177.742
8,8073.0,10568.0,8165.666
9,8073.0,10432.0,8175.79
10,8073.0,10111.0,8147.32
11,8073.0,10401.0,8130.908
12,8073.0,10269.0,8164.292
13,8073.0,10458.0,8158.182
14,8073.0,10586.0,8173.88
15,8073.0,10528.0,8153.126
16,8073.0,10069.0,8144.458
17,8073.0,10161.0,8132.854
18,7957.0,10845.0,8139.5
19,7924.0,9803.0,8111.032
20,7924.0,10552.0,8055.63
21,7924.0,10362.0,8034.868
22,7924.0,10200.0,8003.3
23,7924.0,10139.0,8001.428
24,7924.0,10266.0,7988.516
25,7913.0,10635.0,8035.876
26,7913.0,10635.0,8124.42
27,7913.0,11663.0,8088.32
28,7913.0,9880.0,7988.922
29,7913.0,10295.0,7984.02
30,7913.0,10509.0,7984.356
31,7913.0,9920.0,8001.972
32,7913.0,10711.0,7990.646
33,7913.0,10691.0,7993.758
34,7913.0,9786.0,8007.17
35,7913.0,10205.0,7996.6
36,7908.0,9741.0,7976.036
37,7908.0,10618.0,8015.936
38,7908.0,10686.0,8012.486
39,7908.0,9810.0,7973.332
40,7908.0,10421.0,7977.398
41,7903.0,10706.0,7993.91
42,7903.0,10045.0,8010.08
43,7903.0,11125.0,8223.378
44,7903.0,10291.0,8001.904
45,7827.0,9853.0,7970.886
46,7827.0,10164.0,8004.642
47,7822.0,11669.0,8389.726
48,7822.0,10312.0,7926.896
49,7822.0,10210.0,7921.398
50,7822.0,10408.0,7892.194
51,7822.0,9875.0,7896.982
52,7822.0,9871.0,7904.632
53,7820.0,9709.0,7906.104
54,7820.0,10689.0,7883.482
55,7791.0,10720.0,7910.604
56,7791.0,10179.0,7911.436
57,7791.0,9697.0,7893.564
58,7791.0,10381.0,7878.814
59,7791.0,10218.0,7880.52
60,7791.0,9840.0,7850.352
61,7791.0,10509.0,7864.428
62,7791.0,10227.0,7879.242
63,7791.0,9384.0,7857.418
64,7791.0,10052.0,7875.0
65,7791.0,10048.0,7864.262
66,7791.0,10559.0,7862.708
67,7791.0,10304.0,7871.968
68,7791.0,10052.0,7905.482
69,7791.0,10509.0,7881.76
70,7791.0,9833.0,7870.136
71,7791.0,10108.0,7853.776
72,7791.0,9637.0,7855.63
73,7791.0,9813.0,7874.99
74,7709.0,9892.0,7885.088
75,7709.0,10304.0,7884.434
76,7709.0,10583.0,7829.612
77,7709.0,9583.0,7774.308
78,7709.0,9820.0,7765.076
79,7709.0,10051.0,7803.818
80,7709.0,9731.0,7779.712
81,7709.0,9599.0,7792.93
82,7709.0,10299.0,7787.452
83,7709.0,9857.0,7766.436
84,7702.0,9846.0,7782.346
85,7702.0,10026.0,7777.984
86,7702.0,10407.0,7865.902
87,7702.0,10129.0,7796.314
88,7702.0,9933.0,7796.584
89,7702.0,10420.0,7760.57
90,7702.0,9751.0,7777.73
91,7702.0,10157.0,7780.126
92,7702.0,10138.0,7778.674
93,7702.0,10138.0,7769.51
94,7702.0,10420.0,7764.634
95,7702.0,9895.0,7787.74
96,7702.0,9892.0,7760.704
97,7702.0,9959.0,7778.7
98,7702.0,9769.0,7767.046
99,7702.0,9796.0,7778.656
100,7702.0,10470.0,7786.3
101,7702.0,9790.0,7766.936
102,7702.0,9803.0,7772.914
103,7702.0,10420.0,7794.686
104,7702.0,9959.0,7766.704
105,7702.0,10076.0,7792.67
106,7702.0,10097.0,7775.626
107,7702.0,10292.0,7792.042
108,7702.0,9690.0,7776.99
109,7702.0,9592.0,7776.47
110,7702.0,10407.0,7800.606
111,7702.0,10292.0,7803.006
112,7702.0,9724.0,7791.558
113,7702.0,10407.0,7789.102
114,7702.0,10187.0,7796.752
115,7702.0,9895.0,7812.692
116,7702.0,9690.0,7777.766
117,7702.0,10576.0,7784.608
118,7702.0,9898.0,7787.478
119,7702.0,10182.0,7769.574
120,7702.0,9892.0,7799.304
121,7702.0,10030.0,7808.362
122,7702.0,9813.0,7774.326
123,7702.0,10576.0,7787.044
124,7702.0,9963.0,7790.904
125,7702.0,9590.0,7774.852
126,7702.0,10013.0,7779.206
127,7702.0,9831.0,7807.13
128,7702.0,10084.0,7801.624
129,7702.0,10187.0,7827.798
130,7702.0,10576.0,7787.974
131,7702.0,10612.0,7779.744
132,7702.0,9803.0,7778.622
133,7702.0,10470.0,7806.804
134,7702.0,9738.0,7764.744
135,7702.0,10090.0,7758.086
136,7702.0,9929.0,7767.696
137,7702.0,9959.0,7806.27
138,7702.0,10187.0,7782.138
139,7702.0,9782.0,7765.184
140,7702.0,9790.0,7780.816
141,7702.0,9892.0,7776.898
142,7702.0,9782.0,7778.056
143,7702.0,9994.0,7795.846
144,7702.0,9974.0,7805.96
145,7702.0,9589.0,7753.634
146,7702.0,10187.0,7793.72
147,7702.0,9839.0,7769.416
148,7702.0,10470.0,7776.654
149,7702.0,9858.0,7771.45
150,7702.0,9717.0,7791.202
151,7702.0,10187.0,7804.604
152,7702.0,9923.0,7802.476
153,7702.0,10420.0,7779.884
154,7702.0,10442.0,7783.264
155,7702.0,10129.0,7802.892
156,7702.0,10215.0,7774.552
157,7702.0,9895.0,7786.132
158,7702.0,10008.0,7776.516
159,7702.0,10084.0,7786.314
160,7702.0,9963.0,7789.416
