iterations,best,worst,avg
1,347086.0,377998.0,361006.344
2,347086.0,962544.0,440323.216
3,347086.0,919303.0,392193.638
4,347086.0,382562.0,348796.26
5,347086.0,384694.0,348295.024
6,347086.0,375929.0,348185.018
7,347086.0,381068.0,348433.836
8,347086.0,378528.0,348440.024
9,347086.0,383194.0,348361.822
10,347086.0,367281.0,347607.082
11,347086.0,381512.0,348489.676
12,347086.0,378913.0,348184.054
13,347018.0,383154.0,348360.874
14,347018.0,381853.0,348360.758
15,347018.0,384812.0,348813.928
16,347018.0,377767.0,349176.526
17,347018.0,381555.0,348920.822
18,347011.0,382715.0,348346.464
19,347011.0,382200.0,348593.092
20,347011.0,380672.0,348199.336
21,347011.0,379401.0,348610.974
22,347011.0,381832.0,348296.282
23,346879.0,390888.0,351328.644
24,346879.0,407376.0,350094.426
25,346879.0,378220.0,348420.616
26,346879.0,379916.0,347814.864
27,346700.0,381369.0,348143.984
28,346700.0,374302.0,348033.304
29,346700.0,380986.0,348938.84
30,346700.0,384954.0,348349.932
31,346700.0,381485.0,347977.784
32,346700.0,379321.0,348091.47
33,346590.0,383120.0,347908.568
34,346590.0,381729.0,348364.944
35,346590.0,381356.0,348307.868
36,346590.0,382585.0,348397.804
37,346590.0,378912.0,347549.706
38,346590.0,377470.0,347642.39
39,346590.0,381490.0,348170.91
40,346590.0,379492.0,347654.586
41,346590.0,379042.0,347894.788
42,346590.0,385056.0,347746.036
43,346590.0,380989.0,347928.954
44,346590.0,380516.0,348092.446
45,346590.0,377644.0,348151.878
46,346590.0,383969.0,347833.258
47,346590.0,383292.0,347629.654
48,346590.0,384134.0,348054.518
49,346590.0,382906.0,348252.038
50,346377.0,378588.0,347948.378
51,346377.0,377398.0,348090.608
52,346377.0,383917.0,347518.426
53,346377.0,384639.0,347362.46
54,346377.0,370445.0,347643.374
55,346377.0,383467.0,347651.944
56,346377.0,377440.0,347914.496
57,346377.0,378001.0,347882.824
58,346377.0,381191.0,347653.872
59,346377.0,378683.0,347693.73
60,346377.0,384458.0,347731.688
61,346377.0,382662.0,347703.504
62,346377.0,379620.0,347569.252
63,346377.0,378404.0,347700.59
64,346377.0,382633.0,347347.516
65,346377.0,378324.0,347667.01
66,346377.0,379854.0,347931.07
67,346377.0,375487.0,347639.084
68,346377.0,374495.0,347719.598
69,346377.0,374571.0,347470.682
70,346377.0,377477.0,347679.676
71,346377.0,379753.0,347660.864
72,346377.0,380433.0,348183.35
73,346377.0,383440.0,347975.434
74,346377.0,384720.0,347958.598
75,346377.0,375674.0,347649.852
76,346377.0,377115.0,347656.926
77,346377.0,378586.0,347630.892
78,346377.0,382651.0,347436.232
79,346377.0,380471.0,347899.874
80,346377.0,380934.0,348068.816
81,346377.0,380126.0,347633.248
82,346377.0,379273.0,347307.182
83,346377.0,375411.0,347428.872
84,346377.0,378157.0,347527.832
85,346377.0,377707.0,347762.936
86,346377.0,377262.0,348009.456
87,346377.0,382348.0,347560.37
88,346377.0,380809.0,347937.832
89,346377.0,378197.0,347708.244
90,346377.0,379238.0,347852.552
91,346377.0,383940.0,347501.736
92,346377.0,381922.0,347335.37
93,346377.0,376650.0,347335.806
94,346368.0,380795.0,348090.368
95,346368.0,379877.0,348127.554
96,346368.0,382038.0,347861.792
97,346368.0,375808.0,347634.46
98,346368.0,379927.0,347727.86
99,346206.0,382903.0,347719.096
100,346206.0,382112.0,347580.936
101,346206.0,379651.0,347555.452
102,346206.0,377166.0,347308.346
103,346206.0,377338.0,347256.268
104,346206.0,384051.0,347721.904
105,346206.0,384560.0,347569.166
106,346206.0,378112.0,347461.53
107,346206.0,383785.0,347340.33
108,345219.0,378638.0,347561.138
109,345219.0,391744.0,348268.032
110,345219.0,381492.0,346915.256
111,345219.0,378633.0,346257.462
112,345219.0,379109.0,346467.83
113,345219.0,378564.0,346470.8
114,345219.0,368484.0,346146.26
115,345219.0,379962.0,347046.232
116,345219.0,379561.0,346497.88
117,345219.0,379344.0,346097.892
118,345219.0,382028.0,346278.522
119,345219.0,378617.0,346407.264
120,345219.0,379451.0,346711.554
121,345219.0,381776.0,346476.712
122,345219.0,379785.0,346252.94
123,345219.0,371283.0,346035.34
124,345219.0,377098.0,346587.112
125,345219.0,377697.0,346120.334
126,345219.0,380139.0,346533.556
127,345219.0,375403.0,346831.588
128,345219.0,382482.0,346817.878
129,345219.0,373277.0,346401.322
130,345219.0,380500.0,346538.486
131,345219.0,378546.0,346652.314
132,345219.0,376044.0,346468.082
133,345219.0,379394.0,346475.77
134,345219.0,379869.0,346118.918
135,345219.0,375418.0,346332.28
136,345219.0,370749.0,346189.68
137,345219.0,375530.0,346403.264
138,345219.0,383130.0,346516.516
139,345043.0,377144.0,346484.728
140,345043.0,393853.0,347742.882
141,345043.0,403236.0,352520.416
142,345043.0,377351.0,346587.23
143,345043.0,379094.0,346223.684
144,345043.0,375323.0,346602.326
145,345043.0,378698.0,346258.668
146,345043.0,375660.0,346347.298
147,345043.0,379399.0,346388.196
148,345043.0,375194.0,346324.672
149,345043.0,377223.0,346794.436
150,345043.0,379008.0,346237.096
151,345043.0,381177.0,346213.012
152,345043.0,377580.0,346071.424
153,345043.0,378802.0,346120.808
154,345043.0,379242.0,346128.394
155,345043.0,378118.0,346509.1
156,345043.0,377326.0,346126.948
157,345043.0,380930.0,346201.446
158,345043.0,378880.0,346084.232
159,345043.0,379478.0,346381.202
160,345043.0,381363.0,346471.606
161,344559.0,382594.0,346301.55
162,344559.0,377325.0,346688.884
163,344559.0,381633.0,346646.916
164,344559.0,382674.0,349767.588
165,344559.0,378250.0,345721.862
166,344559.0,374997.0,345671.976
167,344559.0,379359.0,346062.632
168,344559.0,378051.0,345952.582
169,344559.0,381178.0,345844.16
170,344559.0,376333.0,345773.094
171,344559.0,383805.0,345946.582
172,344559.0,378165.0,345495.78
173,344559.0,372718.0,345656.92
174,344559.0,382077.0,345890.06
175,344559.0,376419.0,345948.074
176,344559.0,381773.0,345748.82
177,344559.0,376619.0,345742.032
178,344559.0,377439.0,345604.96
179,344559.0,375611.0,345988.358
180,344559.0,374929.0,346081.104
181,344559.0,371184.0,345606.036
182,344559.0,380752.0,345987.974
183,344559.0,377209.0,346196.37
184,344555.0,378033.0,345869.988
185,344555.0,380844.0,346140.182
186,344555.0,379883.0,346445.714
187,344555.0,380096.0,345949.796
188,344555.0,380893.0,345833.768
189,344555.0,383072.0,345888.052
190,344555.0,380566.0,346168.938
191,344555.0,379089.0,345765.786
192,344555.0,378857.0,346042.334
193,344555.0,379480.0,345570.078
194,344555.0,377015.0,345917.26
195,344555.0,379230.0,345699.816
196,344555.0,380294.0,345871.28
197,344555.0,379833.0,345857.104
198,344555.0,373669.0,345797.23
199,344555.0,380816.0,345774.576
200,344555.0,381112.0,346042.434
201,344555.0,381557.0,345713.31
202,344555.0,378325.0,346085.238
203,344555.0,382527.0,346321.216
204,344555.0,373028.0,345503.774
205,344555.0,376661.0,345766.974
206,344555.0,380524.0,345782.218
207,344555.0,379791.0,346068.394
208,344555.0,381509.0,345841.158
209,344555.0,370113.0,345364.756
210,344555.0,376335.0,345885.298
211,344555.0,377957.0,345725.12
212,344555.0,378351.0,345542.262
213,344555.0,381012.0,345894.39
214,344555.0,376611.0,345869.816
215,344555.0,381465.0,345950.738
216,344555.0,381413.0,345845.958
217,344555.0,376554.0,345708.802
218,344555.0,376614.0,345611.438
219,344555.0,378378.0,345798.368
220,344555.0,378647.0,346313.086
221,344555.0,380940.0,346015.464
222,344555.0,378575.0,345672.104
223,344555.0,378044.0,345688.344
224,344555.0,378213.0,345703.85
225,344555.0,377120.0,346224.574
226,344555.0,373895.0,345406.876
227,344555.0,380597.0,345793.138
228,344555.0,377566.0,345744.742
229,344555.0,382680.0,345653.354
230,344555.0,380336.0,345846.064
231,344555.0,381590.0,346110.952
232,344555.0,380495.0,346360.69
233,344555.0,377690.0,345602.028
234,344555.0,377836.0,346176.794
235,344555.0,379749.0,345524.776
236,344555.0,380054.0,345907.994
237,344555.0,377999.0,345754.882
238,344555.0,376631.0,346183.27
239,344555.0,378581.0,345369.69
240,344555.0,379374.0,345992.024
241,344555.0,375889.0,345693.942
242,344555.0,378973.0,345997.602
243,344555.0,378287.0,345893.586
244,344555.0,381079.0,345752.94
245,344555.0,380801.0,345739.99
246,344555.0,381645.0,345892.85
