iterations,best,worst,avg
1,24759.0,28756.0,27127.172
2,24759.0,45596.0,27830.948
3,24759.0,31921.0,25178.412
4,24759.0,31975.0,25026.064
5,24759.0,32481.0,25083.984
6,24473.0,30532.0,24986.864
7,24473.0,36701.0,25490.742
8,24473.0,32132.0,24771.042
9,24473.0,31251.0,24756.522
10,24473.0,31154.0,24695.24
11,24473.0,31512.0,24736.93
12,24473.0,31683.0,24750.586
13,24237.0,31661.0,24857.756
14,24237.0,30921.0,24521.188
15,24237.0,31525.0,24617.39
16,24138.0,31049.0,24475.356
17,24138.0,31649.0,24643.15
18,24138.0,31118.0,24518.228
19,23823.0,31064.0,24375.758
20,23823.0,31339.0,24407.65
21,23823.0,30718.0,24354.622
22,23823.0,30972.0,24128.042
23,23823.0,29965.0,24063.748
24,23823.0,31311.0,24127.286
25,23823.0,31191.0,24110.172
26,23823.0,30991.0,24135.182
27,23823.0,30604.0,24060.016
28,23823.0,29628.0,23997.994
29,23823.0,29089.0,24007.2
30,23823.0,31087.0,24068.23
31,23823.0,30913.0,24103.472
32,23787.0,31182.0,24033.988
33,23725.0,30187.0,24024.056
34,23701.0,31771.0,24331.256
35,23701.0,30551.0,24012.254
36,23701.0,30477.0,23976.358
37,23701.0,29678.0,23974.68
38,23701.0,31228.0,23963.292
39,23701.0,30609.0,24039.364
40,23701.0,31319.0,24018.67
41,23701.0,30572.0,23982.222
42,23701.0,31356.0,23963.352
43,23701.0,30860.0,23970.426
44,23701.0,30294.0,23938.652
45,23701.0,30186.0,23969.19
46,23701.0,30405.0,23957.454
47,23701.0,29761.0,23926.908
48,23701.0,30568.0,23942.38
49,23701.0,31117.0,23989.328
50,23701.0,31014.0,23995.562
51,23701.0,30177.0,23992.15
52,23701.0,30445.0,23943.39
53,23701.0,30820.0,24038.994
54,23701.0,30644.0,24035.15
55,23701.0,30513.0,23948.886
56,23701.0,30470.0,23958.632
57,23701.0,30869.0,23949.07
58,23701.0,29887.0,23925.902
59,23701.0,30609.0,23965.606
60,23547.0,31093.0,23871.314
61,23547.0,30755.0,23998.456
62,23547.0,31193.0,23888.692
63,23547.0,30346.0,23826.24
64,23546.0,30717.0,23873.03
65,23546.0,30287.0,23841.898
66,23546.0,30634.0,23980.446
67,23546.0,30132.0,23774.388
68,23546.0,30932.0,23825.626
69,23546.0,31008.0,23841.638
70,23546.0,31105.0,23755.148
71,23546.0,30893.0,23828.004
72,23546.0,30345.0,23795.744
73,23546.0,29656.0,23834.902
74,23539.0,28999.0,23729.736
75,23539.0,30656.0,23899.752
76,23539.0,30598.0,23872.356
77,23539.0,29878.0,23819.106
78,23539.0,30854.0,23859.034
79,23539.0,30880.0,23786.052
80,23539.0,29826.0,23797.868
81,23539.0,30931.0,23927.73
82,23539.0,29586.0,23774.934
83,23512.0,29560.0,23735.804
84,23391.0,30408.0,23818.858
85,23391.0,30911.0,23778.738
86,23391.0,30685.0,23640.814
87,23391.0,30255.0,23646.99
88,23391.0,30898.0,23694.468
89,23386.0,30087.0,23705.044
90,23386.0,30225.0,23793.34
91,23386.0,30590.0,23603.504
92,23363.0,30449.0,23632.33
93,23297.0,30623.0,23704.648
94,23274.0,30658.0,23602.544
95,23274.0,30478.0,23687.456
96,23274.0,30277.0,23490.37
97,23274.0,30217.0,23483.868
98,23274.0,30152.0,23535.732
99,23274.0,30217.0,23612.454
100,23274.0,29986.0,23572.23
101,23274.0,30339.0,23530.32
102,23274.0,30492.0,23543.666
103,23274.0,30336.0,23527.88
104,23274.0,30504.0,23530.944
105,23274.0,30206.0,23482.484
106,23274.0,30298.0,23596.524
107,23274.0,30935.0,23616.85
108,23274.0,30690.0,23567.678
109,23274.0,30666.0,23484.41
110,23274.0,30511.0,23504.026
111,23274.0,30312.0,23512.232
112,23274.0,30339.0,23578.874
113,23274.0,29767.0,23422.696
114,23274.0,30666.0,23628.392
115,23274.0,30029.0,23550.096
116,23116.0,30478.0,23489.41
117,23116.0,30029.0,23526.374
118,23115.0,30276.0,23375.176
119,23115.0,29701.0,23380.686
120,23115.0,30199.0,23377.1
121,23115.0,33336.0,23796.914
122,23115.0,30483.0,23467.878
123,23115.0,30528.0,23506.36
124,23115.0,30839.0,23391.182
125,23115.0,29798.0,23458.266
126,23115.0,32043.0,23396.182
127,23115.0,30749.0,23459.556
128,23115.0,28524.0,23331.25
129,23115.0,30439.0,23400.928
130,23115.0,30333.0,23433.124
131,23115.0,30259.0,23369.714
132,23115.0,30118.0,23410.436
133,23115.0,29455.0,23461.546
134,23115.0,29274.0,23393.688
135,23115.0,30751.0,23340.192
136,23115.0,29993.0,23545.76
